Rv	gene	len	strand	H37Rv_1B_1	H37Rv_1B_2	H37Rv_1B_3	H37Rv_2G1B_1	H37Rv_2G1B_2	H37Rv_2G1B_3	H37Rv_4G_1	H37Rv_4G_2	H37Rv_4G_3	H37Rv_HiFe_1	H37Rv_HiFe_2	H37Rv_HiFe_3	H37Rv_LoFe_1D_1	H37Rv_LoFe_1D_2	H37Rv_LoFe_1D_3	H37Rv_LoFe_1W_1	H37Rv_LoFe_1W_2	H37Rv_LoFe_1W_3	H37Rv_TOL_1	H37Rv_TOL_2	H37Rv_TOL_LpH_1	H37Rv_TOL_LpH_2	W_1	W_2	W_3	W_D516V_1	W_D516V_2	W_D516V_3	W_H526D_1	W_H526R_1	W_H526R_2	W_H526R_3	W_S531L_1	W_S531L_2	W_S531L_3
Rv2197c	-	645	-	220.3	122.0	113.1	298.4	280.8	252.4	245.0	268.0	235.5	297.4	298.6	394.3	161.7	165.7	204.4	189.3	184.1	190.0	270.5	291.4	199.2	197.9	209.3	250.3	266.7	180.0	220.9	249.2	305.6	209.9	195.2	237.4	298.8	265.0	246.4
Rv2198c	mmpS3	900	-	169.3	140.7	149.6	319.7	248.8	226.5	214.8	224.4	180.5	405.8	419.9	421.7	237.0	203.8	219.6	235.2	212.4	228.9	387.3	439.2	321.1	378.6	350.1	348.4	347.0	289.4	259.7	262.5	355.0	395.8	300.0	367.1	379.1	328.0	349.3
Rv2199c	-	420	-	574.0	439.2	433.5	495.8	453.4	408.7	374.9	411.3	446.0	612.7	614.4	609.2	331.3	338.4	374.6	249.4	252.1	280.6	985.8	943.4	530.9	572.6	652.9	593.5	685.7	643.1	676.9	766.3	645.8	1031.4	713.8	931.1	545.8	493.3	575.6
Rv2200c	ctaC	1092	-	542.0	424.1	440.0	466.9	459.6	375.5	352.4	372.0	433.3	614.5	561.2	513.7	325.8	350.8	416.5	265.4	244.3	273.0	1016.0	951.5	427.3	460.5	696.9	561.7	704.1	758.1	631.0	720.4	675.6	1108.1	794.0	1024.9	599.7	489.2	641.0
Rv2201	asnB	1959	+	30.4	29.5	35.1	59.0	43.3	41.9	31.8	33.2	30.8	66.3	66.7	62.5	60.2	59.9	38.7	50.8	46.5	57.8	79.1	73.5	53.2	53.3	55.9	56.8	53.6	45.4	55.0	58.5	39.8	34.5	41.4	29.8	59.2	62.2	59.9
Rv2202c	cbhK	975	-	278.5	226.1	283.9	364.1	351.0	360.0	407.7	357.3	312.4	279.4	265.6	287.8	351.6	391.6	419.5	362.7	366.7	354.9	282.7	286.4	285.3	256.0	247.9	224.8	249.6	255.9	267.3	304.0	276.0	298.2	257.2	302.8	238.4	245.2	250.0
Rv2203	-	693	+	52.6	60.8	60.9	110.5	82.1	81.2	62.0	70.9	52.2	156.7	136.4	124.7	143.5	113.2	54.9	89.6	87.3	125.4	154.1	150.6	71.6	65.1	103.5	108.4	113.9	95.9	110.2	112.9	102.1	172.2	189.7	131.6	117.0	123.1	100.7
Rv2204c	-	357	-	1304.3	1280.6	1123.2	1107.6	1326.7	1246.3	1437.3	1418.0	1347.7	984.0	885.5	953.9	949.6	1228.5	1262.9	1009.5	912.1	899.2	1060.9	1019.4	1672.8	1674.4	1439.7	1293.1	1093.0	1254.2	1110.2	1034.6	911.5	1218.0	1010.8	1195.8	1124.6	1181.0	1279.8
Rv2205c	-	1077	-	35.6	27.3	29.4	39.2	45.8	34.7	58.0	55.0	43.7	45.7	44.3	41.0	35.1	38.9	32.8	34.7	29.5	36.2	38.0	29.8	44.2	43.7	43.6	32.5	34.0	32.0	30.8	34.4	40.3	40.5	23.9	30.5	36.4	45.8	45.3
Rv2206	-	711	+	127.8	126.6	130.0	155.5	161.6	139.6	72.4	76.5	81.2	217.6	214.9	191.9	137.7	132.0	155.8	200.8	191.7	205.8	223.8	244.1	84.0	68.3	198.6	224.4	210.2	191.4	196.9	190.8	229.5	225.9	284.6	204.7	189.9	181.9	162.0
Rv2207	cobT	1086	+	53.8	43.0	53.2	98.4	115.5	114.7	51.5	55.6	43.5	143.1	154.3	159.5	117.6	84.6	90.8	103.1	110.0	125.3	85.9	89.9	28.2	23.1	87.3	99.8	92.7	70.4	87.0	88.1	155.7	68.9	100.5	82.1	96.3	117.9	82.9
Rv2208	cobS	750	+	48.3	55.1	48.0	82.2	99.9	101.2	41.6	46.0	42.6	126.4	110.2	137.3	93.5	74.7	77.0	94.5	101.9	91.5	62.6	70.5	29.9	21.8	67.9	97.6	87.5	56.6	72.4	74.2	154.3	42.6	67.5	59.4	95.7	125.0	77.7
Rv2209	-	1539	+	29.7	26.1	28.3	30.9	30.4	32.7	35.4	28.6	28.4	32.3	29.4	34.2	41.9	37.8	45.1	46.0	46.3	41.1	24.8	24.9	29.6	32.1	25.1	27.3	25.6	24.8	29.7	27.6	39.2	24.5	27.4	24.9	30.4	26.8	27.6
Rv2210c	ilvE	1107	-	137.2	107.6	114.2	175.6	167.4	139.8	161.2	165.1	145.6	197.8	202.2	214.0	130.7	114.0	124.1	122.5	112.5	133.2	238.6	234.8	178.4	145.0	186.2	171.3	214.0	160.1	157.6	186.9	197.7	200.0	174.3	194.8	214.2	183.1	193.7
Rv2211c	gcvT	1140	-	115.7	82.8	99.0	208.8	153.9	146.2	133.8	168.7	130.7	241.1	238.7	240.6	100.8	102.9	71.1	137.1	124.8	149.3	303.1	330.3	155.3	149.0	146.5	148.7	186.4	96.0	119.2	127.3	129.1	175.3	148.1	151.5	212.4	200.8	184.9
Rv2212	-	1137	+	104.5	118.7	111.7	139.2	99.8	101.3	76.6	90.0	77.8	80.6	94.7	98.4	95.2	91.2	75.7	97.6	86.7	111.7	129.5	119.4	130.5	88.8	81.7	106.5	119.6	69.5	70.7	84.9	73.3	62.9	65.2	57.9	111.8	124.7	128.4
Rv2213	pepB	1548	+	70.2	61.0	62.3	119.1	106.2	96.9	48.2	57.9	64.3	181.1	178.0	169.4	75.8	73.4	44.8	79.3	81.0	110.8	199.7	198.0	61.6	47.2	108.0	129.8	140.2	90.2	101.1	114.1	94.5	107.2	140.0	90.2	143.5	161.7	134.7
Rv2214c	ephD	1779	-	203.5	181.9	172.6	192.8	186.0	180.1	219.7	241.9	200.5	278.1	254.9	249.9	145.4	143.0	185.1	150.7	142.4	144.7	283.0	299.1	183.5	156.1	247.8	231.1	279.2	275.7	285.4	293.3	314.6	225.9	198.9	215.2	278.5	231.4	264.6
Rv2215	dlaT	1662	+	281.4	325.9	282.2	297.4	331.3	310.0	180.1	200.7	175.9	389.3	403.4	387.5	290.1	284.6	260.9	308.9	303.6	303.0	392.0	393.2	239.0	213.8	384.5	458.2	457.6	435.2	440.6	447.6	463.2	338.2	397.7	329.2	473.6	505.3	469.3
Rv2216	-	906	+	211.7	211.2	191.6	245.7	284.8	287.7	150.9	160.8	126.1	326.9	335.4	373.1	257.3	224.8	220.8	269.4	262.7	266.9	323.5	346.0	209.6	139.5	340.9	395.4	418.1	369.7	354.2	374.8	396.1	262.5	286.4	241.2	417.4	424.0	394.2
Rv2217	lipB	693	+	251.3	332.5	282.8	274.8	299.6	326.5	155.9	153.2	149.6	338.0	293.0	313.6	282.8	263.8	236.3	342.3	331.4	292.6	326.1	342.2	201.6	157.8	341.9	367.8	396.2	294.9	334.5	314.2	359.3	231.2	289.8	223.9	355.3	415.4	366.6
Rv2218	lipA	936	+	338.4	400.1	330.9	335.6	333.8	316.9	160.1	191.0	184.5	370.2	394.8	403.2	346.0	264.3	265.0	297.8	288.3	292.1	400.0	394.0	269.2	217.7	387.8	408.6	381.2	316.5	317.0	301.3	405.8	357.7	373.3	302.8	336.6	359.1	351.7
Rv2219	-	753	+	350.9	353.7	367.9	400.1	410.3	420.4	212.0	227.7	222.1	410.2	435.2	388.0	329.6	316.0	270.8	379.7	370.2	323.0	352.9	368.0	257.0	215.4	395.3	431.0	412.9	369.6	409.1	348.4	440.2	387.1	452.4	413.7	400.8	406.4	381.3
Rv2219A	-	423	-	110.6	91.6	77.4	72.8	80.9	84.4	93.3	86.8	110.9	66.6	51.4	77.3	101.7	86.4	100.6	123.5	129.8	106.7	76.2	75.1	102.3	75.7	40.6	41.2	53.7	55.8	71.2	74.2	90.6	70.1	51.1	79.4	42.0	53.2	41.8
Rv2220	glnA1	1437	+	546.4	425.2	499.8	671.0	528.2	476.1	411.5	529.1	480.6	483.5	466.2	381.0	499.2	482.7	300.8	253.7	232.3	324.0	955.5	936.0	533.0	409.3	552.6	504.7	608.6	647.9	611.8	754.1	416.6	703.8	681.2	758.0	490.6	462.4	451.9
Rv2221c	glnE	2985	-	142.3	93.3	114.3	158.3	172.5	184.3	196.9	194.4	157.4	241.1	217.3	243.2	142.8	149.1	135.9	195.7	212.3	206.6	151.5	153.5	222.3	197.7	114.5	116.8	131.7	135.3	150.2	156.4	197.5	138.0	120.7	141.9	138.2	158.7	128.8
Rv2222c	glnA2	1341	-	472.2	454.4	451.1	469.4	422.5	392.7	477.2	494.4	428.0	566.5	583.6	651.5	312.9	342.3	414.6	425.9	444.1	379.7	766.1	790.5	575.3	594.6	705.9	644.0	666.0	613.1	566.1	609.8	692.0	670.3	594.4	661.8	553.4	518.7	599.4
Rv2223c	-	1563	-	92.9	78.7	73.5	128.3	116.8	122.1	91.0	102.8	91.8	158.1	170.1	178.3	87.0	101.8	99.8	106.7	97.0	85.3	203.6	193.8	104.5	111.3	148.5	143.6	154.0	162.6	177.4	162.4	163.1	211.1	156.6	180.8	124.1	121.9	123.9
Rv2224c	-	1563	-	211.3	166.8	179.8	203.4	212.2	221.3	190.4	187.1	180.7	198.0	205.8	200.3	200.3	200.0	250.8	270.7	270.4	241.1	246.9	257.4	198.9	176.5	202.1	213.5	220.0	266.6	256.7	256.8	207.9	219.1	198.2	220.5	230.5	215.9	214.2
Rv2225	panB	846	+	132.6	161.5	151.2	233.5	224.4	158.7	79.5	65.4	92.7	166.2	173.8	214.3	151.9	130.8	123.6	150.9	158.6	182.6	135.9	151.8	96.2	87.1	100.3	106.8	115.9	90.4	88.4	111.6	97.6	80.7	89.1	73.9	133.3	146.2	128.1
Rv2226	-	1542	+	31.1	26.0	29.8	43.6	47.8	38.4	16.5	23.1	27.6	61.7	64.0	53.6	46.6	40.1	26.0	41.2	47.2	45.9	55.5	57.3	27.7	23.1	38.4	40.6	36.9	29.8	33.7	30.8	37.1	30.8	39.0	26.5	45.2	50.6	44.2
Rv2227	-	702	+	65.5	64.2	71.3	47.5	37.6	41.2	43.3	46.4	49.8	52.3	53.9	46.1	30.8	30.0	16.9	19.8	20.2	21.5	65.8	53.7	51.8	27.1	56.4	57.7	54.9	48.3	46.8	43.8	49.6	65.8	69.3	43.0	56.8	42.9	45.7
Rv2228c	-	1095	-	57.7	31.4	45.7	82.4	90.9	80.5	72.7	81.4	62.1	99.4	94.1	109.1	40.6	41.6	39.8	31.9	33.6	25.8	88.1	87.9	74.6	64.9	74.3	76.1	80.8	70.7	76.7	72.0	60.2	61.5	59.3	58.0	78.8	86.1	78.6
Rv2229c	-	738	-	67.1	42.5	37.0	79.7	74.3	75.4	64.6	61.1	72.9	102.6	94.4	100.1	44.4	37.4	51.7	33.3	39.9	36.0	100.8	109.1	68.8	52.5	79.7	76.0	83.3	91.1	86.5	88.5	79.8	70.4	79.0	69.7	89.0	86.6	87.9
Rv2230c	-	1140	-	56.7	36.1	39.6	66.4	81.8	66.1	63.1	72.0	47.8	105.2	97.7	111.9	38.8	46.6	45.5	45.5	44.4	40.1	71.2	71.4	56.8	42.6	71.9	68.5	74.6	62.0	74.8	74.4	77.0	60.5	49.6	57.9	100.2	91.6	72.1
Rv2231c	cobC	1095	-	56.0	58.0	55.0	74.7	59.7	68.6	58.3	60.6	49.6	121.3	111.1	137.1	50.0	40.0	43.7	38.8	42.1	33.7	90.0	93.9	55.5	67.2	68.3	62.3	89.0	63.4	73.4	73.4	88.4	56.8	49.1	58.3	88.5	87.0	90.2
Rv2232	-	876	+	51.2	39.6	50.6	53.0	44.7	56.8	29.0	36.6	40.3	49.8	49.8	45.9	36.6	39.1	52.8	47.4	48.2	37.7	59.9	67.4	17.2	31.1	59.8	61.9	75.7	70.1	71.4	63.5	60.8	45.9	64.7	48.7	65.0	44.8	67.7
Rv2234	ptpA	492	+	78.5	61.7	72.9	68.8	73.5	63.2	43.0	54.6	40.5	67.2	67.7	80.0	74.6	64.6	61.5	65.4	80.9	72.1	69.5	74.3	42.8	41.5	69.6	74.1	72.8	75.2	69.0	72.1	74.1	56.3	67.8	45.1	93.8	108.2	80.7
Rv2235	-	816	+	90.1	78.8	86.3	96.6	92.1	91.7	63.2	68.4	56.7	105.6	101.6	104.7	70.9	72.3	58.2	59.7	63.9	63.5	86.3	97.5	53.4	63.8	84.1	88.5	84.1	70.5	76.5	81.4	91.6	59.3	76.3	63.7	92.8	112.8	91.8
Rv2236c	cobD	942	-	41.5	31.9	23.5	31.2	29.8	20.8	38.3	41.9	41.7	45.0	37.8	51.9	12.9	14.9	13.3	11.1	15.6	12.4	25.5	20.0	44.8	42.3	19.8	23.8	22.5	11.8	20.4	20.2	41.4	23.5	20.6	22.2	20.6	24.7	27.4
Rv2237	-	768	+	49.6	72.5	50.5	64.3	47.1	44.6	43.0	39.7	42.8	75.0	71.8	61.5	49.6	37.8	35.8	25.0	28.9	25.2	73.7	66.4	59.6	53.7	59.6	61.3	58.3	64.7	82.2	71.5	73.9	57.6	62.8	52.0	58.6	57.3	71.1
Rv2238c	ahpE	462	-	193.8	144.4	162.7	252.3	261.9	261.7	308.7	309.3	225.0	415.3	383.8	417.7	171.7	171.9	161.8	142.1	137.7	140.2	382.7	389.3	297.0	273.9	336.6	324.6	331.4	311.1	315.7	320.0	342.0	294.2	242.7	283.5	367.7	347.6	341.7
Rv2239c	-	477	-	254.5	164.8	192.1	222.2	224.0	224.4	295.6	296.5	264.6	312.9	296.1	328.2	131.9	167.3	127.3	120.6	106.1	118.8	283.0	273.4	349.4	303.0	251.8	236.3	286.5	238.1	261.6	273.8	232.4	263.7	218.1	262.7	296.1	315.7	274.5
Rv2240c	-	798	-	99.4	63.1	78.6	140.3	102.9	117.9	161.7	128.4	94.2	235.6	256.2	175.2	84.4	92.0	69.2	116.8	85.1	96.4	171.7	162.3	103.4	105.3	129.0	104.3	173.3	116.9	159.0	168.3	110.9	104.6	66.8	109.3	202.7	156.3	168.2
Rv2241	aceE	2706	+	189.0	193.2	189.1	236.2	244.6	231.5	141.8	147.7	151.7	331.3	349.8	319.6	214.9	184.4	228.5	140.1	136.4	120.0	309.1	302.9	145.5	118.0	378.7	395.1	363.1	368.1	355.2	359.5	373.2	232.2	283.0	229.2	336.2	337.6	351.6
Rv2242	-	1245	+	58.4	64.3	58.0	96.4	102.7	99.4	55.1	60.8	43.3	138.2	131.8	141.0	79.9	87.6	68.7	61.7	71.0	59.3	76.8	85.7	61.0	51.5	120.1	128.7	107.2	100.4	112.8	101.0	125.6	70.1	74.8	72.1	116.5	136.6	117.4
Rv2243	fabD	909	+	80.4	97.2	115.9	268.5	253.7	182.8	102.7	126.1	71.5	843.3	1093.7	801.1	457.4	451.3	278.0	2253.0	2174.5	2961.1	683.3	796.1	250.3	198.1	331.7	389.3	424.2	492.7	595.0	598.0	261.2	614.8	411.0	495.4	364.3	390.1	307.6
Rv2244	acpP	348	+	193.6	234.7	270.8	934.7	908.5	583.8	277.3	342.0	253.4	2216.9	2527.0	1981.2	1125.2	1035.8	601.2	2603.7	2323.1	3552.3	2674.5	2359.3	689.5	574.4	846.3	841.4	1020.4	1475.4	1456.6	1569.9	592.4	2008.1	1872.5	1978.8	897.8	731.8	781.6
Rv2245	kasA	1251	+	167.5	167.5	188.2	711.2	763.4	581.7	256.3	272.1	213.3	1368.6	1606.5	1342.7	759.5	765.6	572.6	2311.3	2206.1	2849.6	1290.3	1316.3	402.4	271.7	583.5	663.8	789.8	1057.5	1136.9	1263.4	552.1	1121.6	1101.6	1286.0	766.1	700.9	643.4
Rv2246	kasB	1317	+	107.9	95.9	128.2	522.4	625.8	488.9	170.5	211.3	147.1	842.3	1007.8	787.9	697.2	709.0	600.6	1747.9	1580.8	1852.8	688.0	700.1	286.1	192.0	485.1	584.2	603.5	759.6	815.0	807.8	496.9	712.2	628.3	796.0	641.7	630.8	550.4
Rv2247	accD6	1422	+	169.0	140.2	181.7	635.3	724.0	672.4	252.3	280.9	221.1	743.2	820.0	834.5	853.5	826.3	785.5	1982.9	1950.4	2012.3	620.9	638.8	311.3	218.3	472.4	550.1	588.6	719.7	859.4	802.3	730.7	650.0	660.8	745.1	750.0	740.8	552.1
Rv2248	-	816	+	36.3	34.1	48.6	152.0	143.1	151.5	60.0	70.0	52.9	137.1	133.3	157.1	149.2	163.7	113.8	169.0	166.5	124.3	150.9	160.6	57.9	45.8	131.7	135.7	111.2	119.2	135.8	130.0	127.0	121.4	134.7	147.3	94.8	103.7	105.9
Rv2249c	glpD1	1551	-	9.5	13.0	14.2	8.5	7.4	10.8	7.1	10.6	7.6	8.8	9.7	10.4	7.3	7.1	5.6	24.0	26.3	26.2	14.2	15.7	20.7	22.4	11.2	10.8	10.4	8.5	14.6	12.5	9.3	10.6	7.2	7.0	14.3	11.9	11.6
Rv2250c	-	570	-	16.4	13.6	14.5	10.9	11.9	13.3	9.6	9.8	11.1	6.0	7.8	11.7	5.4	6.3	3.3	32.8	37.4	47.8	14.9	17.5	31.6	48.1	10.4	7.6	11.9	12.0	10.5	19.7	10.2	12.9	13.3	12.3	8.4	12.2	16.0
Rv2250A	-	420	+	30.1	29.8	44.2	36.2	26.3	29.5	20.8	21.0	19.4	30.1	38.2	47.9	24.0	21.4	14.7	78.1	87.2	93.9	37.7	33.5	47.8	47.7	34.2	45.9	39.5	24.5	24.3	23.4	25.6	22.2	17.8	13.7	37.9	37.1	34.8
Rv2251	-	1428	+	43.5	50.8	51.1	47.5	43.5	40.6	24.0	30.3	20.0	46.2	46.0	54.4	32.1	31.6	17.8	88.3	93.5	99.0	49.8	55.7	58.2	48.5	38.4	43.4	47.5	33.1	38.2	33.0	34.0	21.3	25.9	17.1	53.6	51.4	53.1
Rv2252	-	930	+	33.3	60.1	48.5	48.9	43.7	46.0	21.3	28.5	16.7	49.2	41.5	41.8	29.0	28.2	13.1	62.7	66.1	65.1	58.5	56.3	100.8	81.1	45.9	44.8	51.1	38.0	37.0	36.7	30.0	27.0	37.3	18.3	48.2	54.2	51.5
Rv2253	-	504	+	22.8	28.7	17.5	20.6	18.1	18.8	12.4	14.6	14.0	22.3	20.2	23.1	6.8	13.9	4.4	21.4	17.2	16.7	24.6	25.4	48.7	55.3	26.9	32.8	20.9	28.7	24.8	23.2	35.1	115.3	88.2	115.0	29.7	30.4	30.4
Rv2254c	-	456	-	11.4	12.8	17.6	38.5	36.7	40.0	37.8	22.9	27.3	63.9	56.3	72.6	56.8	65.1	72.8	46.5	45.2	29.7	33.3	31.4	29.8	31.1	33.9	32.0	28.7	21.2	33.0	25.0	38.9	25.6	19.3	29.7	38.9	37.7	36.4
Rv2255c	-	195	-	123.6	71.4	107.3	222.0	242.1	229.6	279.5	200.6	179.4	318.8	333.5	398.8	285.6	319.0	349.9	215.8	219.7	209.6	229.2	224.3	175.7	183.3	247.8	245.7	188.7	195.5	217.5	211.7	297.7	179.0	189.8	201.0	288.6	279.3	281.7
Rv2256c	-	534	-	329.3	289.3	297.4	433.1	461.5	415.5	445.0	401.0	406.6	554.5	525.2	646.6	400.8	453.9	451.3	333.2	344.0	332.2	472.2	474.3	420.2	440.0	452.5	410.4	405.0	446.8	434.7	413.6	506.5	427.5	375.2	418.4	467.9	437.2	488.4
Rv2257c	-	819	-	115.1	93.7	111.0	201.8	226.0	232.2	198.9	205.0	161.6	275.9	282.5	296.5	153.1	153.0	177.8	80.2	79.7	69.5	182.7	202.3	104.4	106.8	189.4	188.6	199.1	189.8	207.0	207.5	218.6	204.7	178.0	208.2	216.0	198.4	168.2
Rv2258c	-	1062	-	198.1	130.0	133.0	240.7	239.6	214.5	221.4	209.3	196.3	320.6	306.3	362.8	175.3	161.6	198.3	88.9	74.2	74.4	288.3	289.8	116.9	134.7	247.9	206.6	279.7	235.7	264.7	275.4	258.0	300.5	296.0	286.7	254.5	240.2	227.5
Rv2259	adhE2	1086	+	149.8	159.3	140.6	181.9	207.7	213.5	86.4	86.1	93.1	208.1	213.6	200.0	135.7	126.6	132.8	78.7	74.9	70.1	188.8	183.1	55.8	43.4	224.0	248.7	225.4	208.0	239.5	196.7	234.5	138.8	206.3	159.8	247.1	264.1	239.3
Rv2260	-	636	+	158.4	191.8	182.2	176.1	223.8	237.5	95.4	91.2	115.3	233.7	220.3	212.1	175.6	154.7	182.8	115.1	118.6	91.0	199.7	212.7	73.6	76.0	255.4	268.5	264.1	256.6	260.2	255.2	264.7	156.9	230.2	196.5	234.4	262.0	258.4
Rv2261c	-	423	-	38.4	27.9	31.7	29.5	25.3	19.6	41.0	42.1	34.0	22.5	22.8	26.9	36.7	22.3	29.6	18.0	17.7	22.0	12.7	18.3	33.0	39.6	0.5	1.0	0.3	0.5	1.1	0.3	0.5	0.6	0.3	1.3	0.5	1.1	0.0
Rv2262c	-	1083	-	32.2	29.3	24.3	25.7	21.1	22.4	50.7	39.7	37.9	21.6	22.7	23.7	24.1	22.6	27.6	17.3	17.9	20.6	14.0	14.4	21.2	19.5	1.4	1.3	2.2	2.0	2.5	0.7	2.5	1.6	0.8	0.8	1.2	3.9	2.3
Rv2263	-	954	+	32.5	27.9	21.7	28.5	33.3	33.7	20.3	27.0	20.9	35.2	38.1	30.0	18.9	29.3	21.3	23.8	23.6	25.3	28.0	25.9	21.3	16.0	4.2	4.7	3.7	3.8	5.2	3.7	9.5	1.9	5.5	3.4	4.2	7.8	5.9
Rv2264c	-	1779	-	43.8	44.8	47.0	50.6	39.8	45.6	64.3	66.5	54.5	41.6	42.0	44.8	41.3	39.6	30.2	37.8	34.8	41.1	35.8	34.0	64.0	80.2	38.9	39.1	41.0	46.7	52.9	50.9	46.3	51.5	34.6	39.3	43.0	35.0	41.5
Rv2265	-	1230	+	8.9	16.0	8.8	14.0	14.2	10.5	11.0	9.3	6.7	13.4	19.4	18.8	12.5	13.4	8.0	11.2	9.3	7.1	14.1	7.8	7.2	4.3	9.0	10.8	10.8	6.3	10.3	10.2	11.7	7.6	7.8	7.5	12.9	10.7	11.8
Rv2266	cyp124	1287	+	139.3	169.3	120.7	69.7	80.9	68.7	91.4	84.0	85.1	62.5	62.0	41.5	49.6	56.2	40.2	44.3	40.1	38.0	37.7	42.2	108.4	93.4	53.8	67.9	43.7	74.2	55.3	54.5	66.5	33.8	39.5	37.8	47.0	49.2	72.5
Rv2267c	-	1167	-	23.2	21.3	16.8	21.0	12.8	10.8	13.8	25.3	15.0	16.3	15.6	11.7	3.2	5.9	4.9	4.5	5.3	6.3	21.7	21.4	25.4	32.4	20.7	20.6	22.2	16.9	20.0	20.7	9.5	15.9	12.9	11.5	22.5	16.6	23.1
Rv2268c	cyp128	1470	-	14.1	22.7	16.6	12.6	10.9	8.0	15.7	19.3	21.3	17.3	17.9	17.5	6.5	4.2	4.5	5.2	3.9	7.0	19.1	23.0	15.3	14.7	18.0	16.8	15.4	17.4	17.7	18.2	9.7	14.1	10.3	9.7	16.3	15.5	15.7
Rv2269c	-	333	-	5.9	8.3	6.8	5.7	4.3	2.2	7.0	5.8	3.0	8.4	7.8	7.9	0.9	1.8	0.7	0.5	0.7	3.8	2.8	6.6	1.9	3.1	4.8	6.2	5.6	5.1	2.2	5.2	3.0	6.5	4.6	1.5	4.6	3.1	4.2
Rv2270	lppN	528	+	8.7	14.0	12.8	4.1	2.7	4.3	5.6	3.9	3.1	10.8	15.5	8.7	2.6	5.1	3.3	7.1	4.1	7.1	8.8	13.1	15.0	19.3	16.4	15.1	13.2	10.9	7.4	7.8	9.2	5.0	4.0	2.8	15.4	19.5	16.7
Rv2271	-	300	+	126.7	136.0	139.7	242.6	204.7	197.8	93.1	115.4	79.3	327.4	347.4	260.6	166.1	145.7	64.1	64.5	51.8	69.1	380.3	403.6	148.6	84.8	335.7	305.4	397.8	221.0	206.9	206.8	113.1	202.6	244.0	195.9	310.8	247.7	277.3
Rv2272	-	369	+	113.7	138.1	155.5	266.1	264.6	258.7	122.0	144.8	98.8	363.9	410.4	374.3	200.6	156.9	101.3	88.3	79.3	91.4	299.0	310.3	165.7	102.5	385.9	377.5	413.6	207.7	254.3	227.9	141.4	173.6	227.6	169.9	345.8	320.6	305.0
Rv2273	-	330	+	30.2	25.2	38.6	67.8	66.1	68.9	30.9	38.9	26.5	98.0	124.4	110.4	61.4	42.6	30.6	31.4	25.6	31.5	52.8	66.9	35.5	14.8	75.1	86.1	94.3	42.1	72.1	58.8	37.7	38.0	46.9	27.6	80.8	79.7	87.2
Rv2274c	-	318	-	19.5	31.5	24.5	20.5	13.6	23.4	28.1	40.8	30.8	38.3	59.1	30.7	8.0	13.7	10.5	5.0	5.4	5.3	43.8	36.6	20.2	33.5	34.8	33.1	33.0	41.9	30.5	39.1	29.8	20.9	27.0	17.4	24.2	19.9	29.4
Rv2275	-	870	+	49.5	67.2	67.0	138.7	99.7	87.1	46.2	52.9	39.7	245.3	251.1	204.5	56.0	38.8	30.3	21.6	18.8	26.9	199.2	192.4	56.0	38.9	237.3	210.5	192.0	122.9	108.3	106.4	121.1	118.1	172.7	116.6	208.4	189.4	210.6
Rv2276	cyp121	1191	+	55.8	79.8	75.2	148.3	138.6	126.5	47.8	59.1	49.7	235.5	232.9	215.5	58.4	47.9	31.0	22.8	19.5	19.9	228.2	222.2	41.0	29.9	273.1	254.4	225.2	127.3	123.2	127.6	141.6	127.3	199.4	116.1	213.3	196.2	221.2
Rv2277c	-	906	-	4.7	6.7	5.3	4.1	1.0	0.9	2.8	6.7	3.2	3.3	1.4	3.2	0.6	0.7	0.8	0.5	1.3	1.3	2.4	2.0	4.8	10.4	39.2	32.5	42.0	41.4	34.7	40.5	21.1	54.1	37.2	41.9	28.6	23.8	29.0
Rv2278	-	327	+	5.5	2.8	5.3	3.3	8.7	5.7	2.4	8.2	4.9	5.7	5.7	5.8	1.5	2.3	2.8	5.1	4.5	6.6	8.5	10.0	6.1	3.7	12.5	13.9	12.1	14.5	11.2	13.3	20.3	13.8	21.5	13.0	10.3	13.5	10.9
Rv2279	-	939	+	10.0	13.5	12.0	7.2	9.1	7.6	4.7	7.0	5.9	11.0	9.8	10.0	8.7	8.1	4.0	8.7	7.9	8.1	10.4	8.5	11.4	10.8	18.0	19.2	17.6	16.2	17.4	17.6	14.2	14.6	19.1	14.7	16.1	17.5	18.8
Rv2280	-	1380	+	114.8	128.8	99.7	101.3	98.7	92.3	59.7	64.9	61.8	132.3	132.2	129.9	66.8	57.0	50.1	74.7	71.2	69.6	142.4	149.0	72.4	59.9	94.7	99.9	107.9	101.7	97.5	98.2	108.8	87.1	92.7	82.7	93.4	98.2	107.8
Rv2281	pitB	1659	+	14.0	21.3	17.4	17.8	13.0	17.9	12.3	12.1	10.8	29.4	25.4	27.6	10.5	8.3	5.3	9.3	10.6	10.3	25.6	25.8	25.1	26.5	19.2	17.9	17.2	14.4	13.9	12.2	18.9	16.5	19.6	19.4	16.6	13.6	20.1
Rv2282c	-	939	-	17.1	39.5	31.0	15.2	8.4	8.7	25.0	21.8	23.7	20.8	23.0	20.8	5.6	5.4	2.3	3.4	4.6	2.9	19.2	20.5	36.2	36.1	19.3	13.4	14.0	12.9	12.9	11.3	12.1	15.5	18.1	12.6	12.8	14.9	13.7
